Frame,Time(s),Tracker,x (px),y (px)
181,9.531332,3,1285,509
182,9.583992,1,831,515
182,9.583992,2,1043,512
182,9.583992,3,1285,509
183,9.636651,1,831,515
183,9.636651,2,1043,512
183,9.636651,3,1285,509
184,9.68931,1,830,515
184,9.68931,2,1042,512
184,9.68931,3,1284,509
185,9.741969,1,830,515
185,9.741969,2,1042,512
185,9.741969,3,1284,509
186,9.794629,1,830,515
186,9.794629,2,1042,512
186,9.794629,3,1284,509
187,9.847288,1,829,515
187,9.847288,2,1041,512
187,9.847288,3,1284,509
188,9.899947,1,829,515
188,9.899947,2,1041,512
188,9.899947,3,1283,509
189,9.952606,1,828,515
189,9.952606,2,1041,512
189,9.952606,3,1283,509
190,10.005266,1,828,515
190,10.005266,2,1041,512
190,10.005266,3,1283,509
191,10.057925,1,828,515
191,10.057925,2,1040,512
191,10.057925,3,1283,509
192,10.110584,1,827,515
192,10.110584,2,1040,512
192,10.110584,3,1282,509
193,10.163244,1,827,515
193,10.163244,2,1040,512
193,10.163244,3,1282,509
194,10.215903,1,827,515
194,10.215903,2,1039,512
194,10.215903,3,1282,509
195,10.268562,1,826,515
195,10.268562,2,1039,512
195,10.268562,3,1282,509
196,10.321221,1,826,515
196,10.321221,2,1039,512
196,10.321221,3,1281,509
197,10.373881,1,826,515
197,10.373881,2,1038,512
197,10.373881,3,1281,509
198,10.42654,1,825,515
198,10.42654,2,1038,512
198,10.42654,3,1281,509
199,10.479199,1,825,515
199,10.479199,2,1038,512
199,10.479199,3,1281,509
200,10.531858,1,824,515
200,10.531858,2,1037,512
200,10.531858,3,1280,509
201,10.584518,1,824,515
201,10.584518,2,1037,512
201,10.584518,3,1280,509
202,10.637177,1,824,515
202,10.637177,2,1037,512
202,10.637177,3,1280,509
203,10.6898365,1,823,515
203,10.6898365,2,1036,512
203,10.6898365,3,1280,509
204,10.7424965,1,823,515
204,10.7424965,2,1036,512
204,10.7424965,3,1279,509
205,10.795156,1,823,515
205,10.795156,2,1036,512
205,10.795156,3,1279,509
206,10.847815,1,822,515
206,10.847815,2,1035,512
206,10.847815,3,1279,509
207,10.900474,1,822,515
207,10.900474,2,1035,512
207,10.900474,3,1279,509
208,10.953134,1,822,515
208,10.953134,2,1035,512
208,10.953134,3,1278,509
209,11.005793,1,821,515
209,11.005793,2,1035,512
209,11.005793,3,1278,509
210,11.058452,1,821,515
210,11.058452,2,1034,512
210,11.058452,3,1278,509
211,11.111111,1,821,515
211,11.111111,2,1034,512
211,11.111111,3,1278,509
212,11.163771,1,820,515
212,11.163771,2,1034,512
212,11.163771,3,1277,509
213,11.21643,1,820,515
213,11.21643,2,1033,512
213,11.21643,3,1277,509
214,11.269089,1,819,515
214,11.269089,2,1033,512
214,11.269089,3,1277,509
215,11.321749,1,819,515
215,11.321749,2,1033,512
215,11.321749,3,1277,509
216,11.374408,1,819,515
216,11.374408,2,1032,512
216,11.374408,3,1276,509
217,11.427067,1,818,515
217,11.427067,2,1032,512
217,11.427067,3,1276,509
218,11.479726,1,818,515
218,11.479726,2,1032,512
218,11.479726,3,1276,509
219,11.532386,1,818,515
219,11.532386,2,1032,512
219,11.532386,3,1276,509
220,11.585045,1,817,515
220,11.585045,2,1031,512
220,11.585045,3,1275,509
221,11.637704,1,817,515
221,11.637704,2,1031,512
221,11.637704,3,1275,509
222,11.690363,1,817,515
222,11.690363,2,1030,512
222,11.690363,3,1275,509
223,11.743023,1,816,515
223,11.743023,2,1030,512
223,11.743023,3,1275,509
224,11.795682,1,816,515
224,11.795682,2,1030,512
224,11.795682,3,1274,509
225,11.848341,1,815,515
225,11.848341,2,1030,512
225,11.848341,3,1274,509
226,11.901001,1,815,515
226,11.901001,2,1029,512
226,11.901001,3,1274,509
227,11.95366,1,815,515
227,11.95366,2,1029,512
227,11.95366,3,1273,509
228,12.006319,1,814,515
228,12.006319,2,1029,512
228,12.006319,3,1273,509
229,12.058978,1,814,515
229,12.058978,2,1028,512
229,12.058978,3,1273,509
230,12.111638,1,813,515
230,12.111638,2,1028,512
230,12.111638,3,1273,509
231,12.164297,1,813,515
231,12.164297,2,1028,512
231,12.164297,3,1272,509
232,12.216956,1,813,515
232,12.216956,2,1027,512
232,12.216956,3,1272,509
233,12.269615,1,812,515
233,12.269615,2,1027,512
233,12.269615,3,1272,509
234,12.322275,1,812,515
234,12.322275,2,1027,512
234,12.322275,3,1272,509
235,12.374934,1,811,515
235,12.374934,2,1027,512
235,12.374934,3,1271,509
236,12.427593,1,811,515
236,12.427593,2,1026,512
236,12.427593,3,1271,509
237,12.480253,1,811,515
237,12.480253,2,1026,512
237,12.480253,3,1271,509
238,12.532912,1,810,515
238,12.532912,2,1025,512
238,12.532912,3,1271,509
239,12.585571,1,810,515
239,12.585571,2,1025,512
239,12.585571,3,1270,509
240,12.63823,1,810,515
240,12.63823,2,1025,512
240,12.63823,3,1270,509
241,12.69089,1,809,515
241,12.69089,2,1025,512
241,12.69089,3,1270,509
242,12.743549,1,809,515
242,12.743549,2,1024,512
242,12.743549,3,1270,509
243,12.796208,1,809,515
243,12.796208,2,1024,512
243,12.796208,3,1269,509
244,12.848867,1,808,515
244,12.848867,2,1024,512
244,12.848867,3,1269,509
245,12.901527,1,808,515
245,12.901527,2,1023,512
245,12.901527,3,1269,509
246,12.954186,1,807,515
246,12.954186,2,1023,512
246,12.954186,3,1269,509
247,13.006845,1,807,515
247,13.006845,2,1023,512
247,13.006845,3,1268,509
248,13.059505,1,807,515
248,13.059505,2,1022,512
248,13.059505,3,1268,509
249,13.1121645,1,806,515
249,13.1121645,2,1022,512
249,13.1121645,3,1268,509
250,13.164824,1,806,515
250,13.164824,2,1022,512
250,13.164824,3,1268,509
251,13.217483,1,806,515
251,13.217483,2,1022,512
251,13.217483,3,1267,509
252,13.270143,1,805,515
252,13.270143,2,1021,512
252,13.270143,3,1267,509
253,13.322802,1,805,515
253,13.322802,2,1021,512
253,13.322802,3,1267,509
254,13.375461,1,804,515
254,13.375461,2,1020,512
254,13.375461,3,1267,509
255,13.42812,1,804,515
255,13.42812,2,1020,512
255,13.42812,3,1267,509
256,13.48078,1,804,515
256,13.48078,2,1020,512
256,13.48078,3,1266,509
257,13.533439,1,804,515
257,13.533439,2,1020,512
257,13.533439,3,1266,509
258,13.586098,1,803,515
258,13.586098,2,1019,512
258,13.586098,3,1266,509
259,13.638758,1,803,515
259,13.638758,2,1019,512
259,13.638758,3,1266,509
260,13.691417,1,802,515
260,13.691417,2,1019,512
260,13.691417,3,1265,509
261,13.744076,1,802,515
261,13.744076,2,1019,512
261,13.744076,3,1265,509
262,13.796735,1,802,515
262,13.796735,2,1018,512
